Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides DMSO 1	Peptides DMSO 2	Peptides DMSO 3	Peptides OXS008450 1	Peptides OXS008450 2	Peptides OXS008450 3	Peptides OXS008450/OXS008255 1uM 1	Peptides OXS008450/OXS008255 1uM 2	Peptides OXS008450/OXS008255 1uM 3	Peptides OXS008450/OXS008255 25uM 1	Peptides OXS008450/OXS008255 25uM 2	Peptides OXS008450/OXS008255 25uM 3	Peptides OXS008450/OXS008255 5uM 1	Peptides OXS008450/OXS008255 5uM 2	Peptides OXS008450/OXS008255 5uM 3	Peptides OXS008450/Paclitaxel 1	Peptides OXS008450/Paclitaxel 2	Peptides OXS008450/Paclitaxel 3	Peptides OXS008483 1	Peptides OXS008483 2	Peptides OXS008483 3	Razor + unique peptides DMSO 1	Razor + unique peptides DMSO 2	Razor + unique peptides DMSO 3	Razor + unique peptides OXS008450 1	Razor + unique peptides OXS008450 2	Razor + unique peptides OXS008450 3	Razor + unique peptides OXS008450/OXS008255 1uM 1	Razor + unique peptides OXS008450/OXS008255 1uM 2	Razor + unique peptides OXS008450/OXS008255 1uM 3	Razor + unique peptides OXS008450/OXS008255 25uM 1	Razor + unique peptides OXS008450/OXS008255 25uM 2	Razor + unique peptides OXS008450/OXS008255 25uM 3	Razor + unique peptides OXS008450/OXS008255 5uM 1	Razor + unique peptides OXS008450/OXS008255 5uM 2	Razor + unique peptides OXS008450/OXS008255 5uM 3	Razor + unique peptides OXS008450/Paclitaxel 1	Razor + unique peptides OXS008450/Paclitaxel 2	Razor + unique peptides OXS008450/Paclitaxel 3	Razor + unique peptides OXS008483 1	Razor + unique peptides OXS008483 2	Razor + unique peptides OXS008483 3	Unique peptides DMSO 1	Unique peptides DMSO 2	Unique peptides DMSO 3	Unique peptides OXS008450 1	Unique peptides OXS008450 2	Unique peptides OXS008450 3	Unique peptides OXS008450/OXS008255 1uM 1	Unique peptides OXS008450/OXS008255 1uM 2	Unique peptides OXS008450/OXS008255 1uM 3	Unique peptides OXS008450/OXS008255 25uM 1	Unique peptides OXS008450/OXS008255 25uM 2	Unique peptides OXS008450/OXS008255 25uM 3	Unique peptides OXS008450/OXS008255 5uM 1	Unique peptides OXS008450/OXS008255 5uM 2	Unique peptides OXS008450/OXS008255 5uM 3	Unique peptides OXS008450/Paclitaxel 1	Unique peptides OXS008450/Paclitaxel 2	Unique peptides OXS008450/Paclitaxel 3	Unique peptides OXS008483 1	Unique peptides OXS008483 2	Unique peptides OXS008483 3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage DMSO 1 [%]	Sequence coverage DMSO 2 [%]	Sequence coverage DMSO 3 [%]	Sequence coverage OXS008450 1 [%]	Sequence coverage OXS008450 2 [%]	Sequence coverage OXS008450 3 [%]	Sequence coverage OXS008450/OXS008255 1uM 1 [%]	Sequence coverage OXS008450/OXS008255 1uM 2 [%]	Sequence coverage OXS008450/OXS008255 1uM 3 [%]	Sequence coverage OXS008450/OXS008255 25uM 1 [%]	Sequence coverage OXS008450/OXS008255 25uM 2 [%]	Sequence coverage OXS008450/OXS008255 25uM 3 [%]	Sequence coverage OXS008450/OXS008255 5uM 1 [%]	Sequence coverage OXS008450/OXS008255 5uM 2 [%]	Sequence coverage OXS008450/OXS008255 5uM 3 [%]	Sequence coverage OXS008450/Paclitaxel 1 [%]	Sequence coverage OXS008450/Paclitaxel 2 [%]	Sequence coverage OXS008450/Paclitaxel 3 [%]	Sequence coverage OXS008483 1 [%]	Sequence coverage OXS008483 2 [%]	Sequence coverage OXS008483 3 [%]	Intensity	Intensity DMSO 1	Intensity DMSO 2	Intensity DMSO 3	Intensity OXS008450 1	Intensity OXS008450 2	Intensity OXS008450 3	Intensity OXS008450/OXS008255 1uM 1	Intensity OXS008450/OXS008255 1uM 2	Intensity OXS008450/OXS008255 1uM 3	Intensity OXS008450/OXS008255 25uM 1	Intensity OXS008450/OXS008255 25uM 2	Intensity OXS008450/OXS008255 25uM 3	Intensity OXS008450/OXS008255 5uM 1	Intensity OXS008450/OXS008255 5uM 2	Intensity OXS008450/OXS008255 5uM 3	Intensity OXS008450/Paclitaxel 1	Intensity OXS008450/Paclitaxel 2	Intensity OXS008450/Paclitaxel 3	Intensity OXS008483 1	Intensity OXS008483 2	Intensity OXS008483 3	LFQ intensity DMSO 1	LFQ intensity DMSO 2	LFQ intensity DMSO 3	LFQ intensity OXS008450 1	LFQ intensity OXS008450 2	LFQ intensity OXS008450 3	LFQ intensity OXS008450/OXS008255 1uM 1	LFQ intensity OXS008450/OXS008255 1uM 2	LFQ intensity OXS008450/OXS008255 1uM 3	LFQ intensity OXS008450/OXS008255 25uM 1	LFQ intensity OXS008450/OXS008255 25uM 2	LFQ intensity OXS008450/OXS008255 25uM 3	LFQ intensity OXS008450/OXS008255 5uM 1	LFQ intensity OXS008450/OXS008255 5uM 2	LFQ intensity OXS008450/OXS008255 5uM 3	LFQ intensity OXS008450/Paclitaxel 1	LFQ intensity OXS008450/Paclitaxel 2	LFQ intensity OXS008450/Paclitaxel 3	LFQ intensity OXS008483 1	LFQ intensity OXS008483 2	LFQ intensity OXS008483 3	MS/MS count DMSO 1	MS/MS count DMSO 2	MS/MS count DMSO 3	MS/MS count OXS008450 1	MS/MS count OXS008450 2	MS/MS count OXS008450 3	MS/MS count OXS008450/OXS008255 1uM 1	MS/MS count OXS008450/OXS008255 1uM 2	MS/MS count OXS008450/OXS008255 1uM 3	MS/MS count OXS008450/OXS008255 25uM 1	MS/MS count OXS008450/OXS008255 25uM 2	MS/MS count OXS008450/OXS008255 25uM 3	MS/MS count OXS008450/OXS008255 5uM 1	MS/MS count OXS008450/OXS008255 5uM 2	MS/MS count OXS008450/OXS008255 5uM 3	MS/MS count OXS008450/Paclitaxel 1	MS/MS count OXS008450/Paclitaxel 2	MS/MS count OXS008450/Paclitaxel 3	MS/MS count OXS008483 1	MS/MS count OXS008483 2	MS/MS count OXS008483 3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A0C4DGX4;Q13616	A0A0C4DGX4;Q13616	1;1	1;1	1;1	Cullin-1	CUL1	tr|A0A0C4DGX4|A0A0C4DGX4_HUMAN Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=1;sp|Q13616|CUL1_HUMAN Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2	2	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	2.4	2.4	2.4	87.387	752	752;776	0	4.4616	0	0	0	0	0	2.4	2.4	2.4	0	0	2.4	0	0	2.4	0	0	0	0	0	0	2.4	29257000	0	0	0	0	0	5289500	7361800	6725600	0	0	3768800	0	0	4022700	0	0	0	0	0	0	2088800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	829240	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	6				121	4926	True	5170	34088;34089;34090;34091;34092;34093	35270;35271;35272;35273;35274;35275	35271	49	464
E9PQP3;E9PIY6;A0A0D9SF70;G5E9L0;Q8N6H7	E9PQP3;E9PIY6;A0A0D9SF70;G5E9L0;Q8N6H7	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2	tr|E9PQP3|E9PQP3_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1;tr|E9PIY6|E9PIY6_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1	5	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	30.597	274	274;327;385;493;521	0	4.3236	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	25204000	0	0	0	0	0	0	0	25204000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11141000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1				122	7938	True	8424	55986	58064	58064		
A0A1B0GUX5;A0A1B0GU67;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;Q05193;P50570	A0A1B0GUX5;A0A1B0GU67;A0A0D9SFB1;A0A0U1RQP1;A0A0D9SFE4;Q05193;P50570	1;1;1;1;1;1;1	1;1;1;1;1;1;1	1;1;1;1;1;1;1	Dynamin-1;Dynamin-2	DNM1;DNM2	tr|A0A1B0GUX5|A0A1B0GUX5_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A1B0GU67|A0A1B0GU67_HUMAN Dynamin-1 (Fragment) OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=1;tr|A0A0D9SFB1|A0A0D9SFB1_HUMAN Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 S	7	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3.1	3.1	3.1	35.248	320	320;356;835;856;864;864;870	0	5.1136	0	0	0	0	3.1	0	3.1	0	0	0	0	0	0	0	0	0	0	0	3.1	3.1	0	49391000	0	0	0	0	0	0	13483000	0	0	0	0	0	0	0	0	0	0	0	35908000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14047000	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4				123	2415	True	2526	16955;16956;16957;16958	17464;17465;17466;17467	17467		
A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68;O60610;H9KV28;B4E2I7	A0A2R8Y5N1;A0A140T8Z0;A0A0G2JH68;O60610;H9KV28	6;6;6;6;5;1	6;6;6;6;5;1	6;6;6;6;5;1	Protein diaphanous homolog 1	DIAPH1	tr|A0A2R8Y5N1|A0A2R8Y5N1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=1;tr|A0A140T8Z0|A0A140T8Z0_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=1;tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanou	6	6	6	6	0	0	0	0	1	0	0	0	0	0	1	1	2	2	2	0	1	1	3	3	0	0	0	0	0	1	0	0	0	0	0	1	1	2	2	2	0	1	1	3	3	0	0	0	0	0	1	0	0	0	0	0	1	1	2	2	2	0	1	1	3	3	0	6.6	6.6	6.6	139.41	1250	1250;1263;1272;1272;1228;201	0	9.6739	0	0	0	0	0.9	0	0	0	0	0	1.2	1.2	1.9	3	1.9	0	1.2	0.8	3.1	2.8	0	394710000	0	0	0	0	8861800	0	0	0	0	0	20215000	25021000	53566000	63834000	74896000	0	20931000	7466100	83882000	36039000	0	0	0	0	0	0	0	0	0	0	0	0	0	25163000	0	36893000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	2	3	3	0	1	1	4	2	0	20				124	2128;3791;4659;5309;5854;6492	True;True;True;True;True;True	2232;3973;4889;5645;6227;6897	15096;15097;15098;26336;26337;32104;32105;32106;32107;32108;32109;32110;32111;32112;32113;32114;32115;36915;36916;40957;45141	15550;15551;15552;27212;27213;33181;33182;33183;33184;33185;33186;33187;33188;33189;33190;33191;33192;38166;38167;42379;46748	15552;27212;33185;38166;42379;46748		
A0A0G2JIW1;P0DMV9;P0DMV8;V9GZ37	A0A0G2JIW1;P0DMV9;P0DMV8	10;10;10;3	9;9;9;3	4;4;4;1	Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A	HSPA1B;HSPA1A	tr|A0A0G2JIW1|A0A0G2JIW1_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV9|HS71B_HUMAN Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1;sp|P0DMV8|HS71A_HUMAN Heat shock 70 kDa protein 1A OS=Hom	4	10	9	4	1	1	2	3	4	3	3	2	1	4	4	2	3	3	2	3	2	3	3	5	4	0	0	1	2	3	2	2	1	1	3	3	1	2	2	1	2	1	2	2	4	3	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	21.5	19.5	8.7	70.108	642	642;641;641;476	0	26.391	2	2	3.9	6.7	7.8	6.1	7	4.5	2.2	8.9	8.9	3.9	5.6	6.4	3.9	6.4	3.9	6.4	6.4	11.1	8.9	1697300000	0	0	0	73462000	81128000	63081000	109810000	33499000	9308300	73026000	218490000	61483000	78390000	104230000	72561000	71216000	36751000	102880000	116560000	268850000	122550000	0	0	0	66938000	0	0	0	0	0	49794000	78845000	0	0	53744000	0	0	0	77442000	54375000	67347000	56447000	0	0	1	2	3	2	1	1	1	2	3	1	2	2	1	2	1	2	2	4	3	36				125	284;796;1043;2923;3203;5250;5277;5530;7186;7899	True;True;True;True;True;True;True;True;False;True	298;830;1089;3056;3346;5582;5611;5882;7634;8384	2248;2249;5957;5958;5959;5960;5961;5962;5963;5964;5965;5966;5967;5968;7512;7513;7514;7515;7516;7517;7518;7519;7520;7521;7522;7523;7524;19849;22252;22253;22254;22255;36523;36730;36731;38760;38761;50312;50313;50314;50315;50316;50317;50318;50319;50320;50321;50322;50323;50324;50325;50326;50327;50328;50329;50330;50331;55751;55752	2284;2285;6083;6084;6085;6086;6087;6088;6089;6090;6091;6092;6093;6094;7685;7686;7687;7688;7689;7690;7691;7692;7693;7694;7695;7696;7697;20436;23024;23025;23026;23027;37766;37979;37980;40104;40105;52152;52153;52154;52155;52156;52157;52158;52159;52160;52161;52162;52163;52164;52165;52166;52167;52168;52169;52170;52171;57829;57830	2285;6088;7693;20436;23027;37766;37980;40104;52167;57829	50	550
C9K0U8;A0A0G2JLD8;E7EUY5;Q04837	C9K0U8;A0A0G2JLD8;E7EUY5;Q04837	1;1;1;1	1;1;1;1	1;1;1;1	Single-stranded DNA-binding protein, mitochondrial	SSBP1	tr|C9K0U8|C9K0U8_HUMAN Single-stranded DNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1;tr|A0A0G2JLD8|A0A0G2JLD8_HUMAN Single-stranded DNA-binding protein, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SSBP1 PE	4	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	12.4	12.4	12.4	14.131	121	121;134;135;148	0	2.1927	0	0	0	0	0	0	0	0	0	0	12.4	0	0	0	0	0	0	0	12.4	0	12.4	106860000	0	0	0	0	0	0	0	0	0	0	27832000	0	0	0	0	0	0	0	33511000	0	45520000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18071000	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3				126	6243	True	6636	43418;43419;43420	45000;45001;45002	45002		
A0A0G2JPP1;A0A0G2JLE6;CON__Q9BYQ5;A0A140TA64;Q9BYR2;Q9BQ66;Q9BYQ5;Q9BYR0	A0A0G2JPP1;A0A0G2JLE6;CON__Q9BYQ5;A0A140TA64;Q9BYR2;Q9BQ66;Q9BYQ5;Q9BYR0	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Keratin-associated protein 4-5;Keratin-associated protein 4-12;Keratin-associated protein 4-6;Keratin-associated protein 4-7	KRTAP4-5;KRTAP4-12;KRTAP4-6;KRTAP4-7	tr|A0A0G2JPP1|A0A0G2JPP1_HUMAN Keratin-associated protein 4-8 OS=Homo sapiens OX=9606 GN=KRTAP4-8 PE=1 SV=1;tr|A0A0G2JLE6|A0A0G2JLE6_HUMAN HCG2042992 OS=Homo sapiens OX=9606 GN=KRTAP4-8 PE=1 SV=1;;tr|A0A140TA64|A0A140TA64_HUMAN Uncharacterized protein OS=H	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10.3	10.3	10.3	19.611	185	185;195;205;210;181;201;205;210	0	3.0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3	0	0	0	0	26650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20419000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1			+	127	7912	True	8398	55820	57898	57898		
A0A0G2JRI7;A0A0G2JQ62;Q8NF37	A0A0G2JRI7;A0A0G2JQ62;Q8NF37	1;1;1	1;1;1	1;1;1	Lysophosphatidylcholine acyltransferase 1	LPCAT1	tr|A0A0G2JRI7|A0A0G2JRI7_HUMAN Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=1;tr|A0A0G2JQ62|A0A0G2JQ62_HUMAN Lysophosphatidylcholine acyltransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=LPCAT1 PE=1 SV=1;sp|Q8NF37|P	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5.1	5.1	5.1	25.74	234	234;489;534	0	10.554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	5.1	0	34115000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34115000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13346000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2				128	4601	True	4830	31778;31779	32848;32849	32849		
A0A0G2JQM1;A0A0G2JS82;O94973;A0A0G2JRF9;A0A0G2JQA4;E9PR62	A0A0G2JQM1;A0A0G2JS82;O94973;A0A0G2JRF9;A0A0G2JQA4;E9PR62	2;2;2;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	AP-2 complex subunit alpha-2	AP2A2	tr|A0A0G2JQM1|A0A0G2JQM1_HUMAN AP-2 complex subunit alpha-2 (Fragment) OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=1;tr|A0A0G2JS82|A0A0G2JS82_HUMAN AP-2 complex subunit alpha-2 (Fragment) OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=1;sp|O94973|AP2A2_HUMAN AP-2 c	6	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.6	1.7	1.7	70.708	634	634;917;939;356;356;378	0.00061463	2.0479	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	1.7	0	0	0	0	0	0	15965000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15965000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7997700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				129	138;4822	False;True	142;5061	1220;33212	1240;34319	1240;34319		
A0A0J9YVR6;E9PQ56;A0A0J9YWM1;H0YEM1;A0A0J9YYL3;A0A0J9YXJ8;A0A0J9YVP6;A0A0J9YXX5;Q9UHX1;E9PN18;E9PL19;E9PMU7;H0YCP8	A0A0J9YVR6;E9PQ56;A0A0J9YWM1;H0YEM1;A0A0J9YYL3;A0A0J9YXJ8;A0A0J9YVP6;A0A0J9YXX5;Q9UHX1;E9PN18	3;3;3;3;3;3;3;3;3;2;1;1;1	3;3;3;3;3;3;3;3;3;2;1;1;1	3;3;3;3;3;3;3;3;3;2;1;1;1	Poly(U)-binding-splicing factor PUF60	PUF60	tr|A0A0J9YVR6|A0A0J9YVR6_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=3;tr|E9PQ56|E9PQ56_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=8;tr|A0A0J9YWM1|A0A0	13	3	3	3	0	0	0	1	0	2	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	2	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	0	2	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	20.1	20.1	20.1	33.655	314	314;322;329;336;505;522;534;551;559;263;228;247;273	0	17.116	0	0	0	9.9	0	15	0	9.9	0	0	9.9	0	9.9	9.9	5.1	0	0	9.9	9.9	5.1	9.9	1182300000	0	0	0	233960000	0	59759000	0	95345000	0	0	105190000	0	262770000	82407000	30022000	0	0	117850000	21499000	55035000	118500000	0	0	0	171420000	0	0	0	0	0	0	0	0	123310000	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	1	0	2	1	1	0	0	1	1	1	1	14				130	940;3607;4237	True;True;True	980;3781;4444	6984;6985;6986;6987;6988;6989;6990;6991;6992;6993;6994;25231;25232;29366	7147;7148;7149;7150;7151;7152;7153;7154;7155;7156;7157;26102;26103;30415	7150;26102;30415	51	281
A0A0J9YYG2;A0A0J9YVU1;I3L163;I3L439;A0A0J9YWI5;A0A0J9YVR1;J3KR97;Q9BTW9	A0A0J9YYG2;A0A0J9YVU1;I3L163;I3L439;A0A0J9YWI5;A0A0J9YVR1;J3KR97;Q9BTW9	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Tubulin-specific chaperone D	TBCD	tr|A0A0J9YYG2|A0A0J9YYG2_HUMAN Tubulin-specific chaperone D (Fragment) OS=Homo sapiens OX=9606 GN=TBCD PE=1 SV=1;tr|A0A0J9YVU1|A0A0J9YVU1_HUMAN Tubulin-specific chaperone D (Fragment) OS=Homo sapiens OX=9606 GN=TBCD PE=1 SV=1;tr|I3L163|I3L163_HUMAN Tubulin	8	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	11.2	11.2	11.2	8.6368	80	80;92;244;256;466;504;1230;1192	0.00061996	2.1557	0	0	0	0	0	0	11.2	0	0	0	0	0	0	11.2	11.2	0	0	0	0	0	0	36587000	0	0	0	0	0	0	11477000	0	0	0	0	0	0	25110000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10614000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2				131	4699	True	4933	32389;32390;32391	33469;33470;33471	33471		
E9PP60;E9PLH9;E9PP14;A0A0J9YX13;E9PKL9;Q13630	E9PP60;E9PLH9;E9PP14;A0A0J9YX13;E9PKL9;Q13630	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	GDP-L-fucose synthase	TSTA3	tr|E9PP60|E9PP60_HUMAN GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=TSTA3 PE=1 SV=1;tr|E9PLH9|E9PLH9_HUMAN GDP-L-fucose synthase (Fragment) OS=Homo sapiens OX=9606 GN=TSTA3 PE=1 SV=8;tr|E9PP14|E9PP14_HUMAN GDP-L-fucose synthase (Fragment) OS=Homo sapie	6	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	10.4	10.4	10.4	12.105	115	115;118;198;221;268;321	0	2.2801	0	0	0	0	10.4	10.4	0	10.4	0	10.4	0	0	0	0	10.4	0	0	0	0	0	10.4	164850000	0	0	0	0	20723000	23090000	0	33899000	0	35019000	0	0	0	0	24533000	0	0	0	0	0	27585000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10951000	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	5				132	3328	True	3484	23425;23426;23427;23428;23429;23430	24244;24245;24246;24247;24248;24249	24245		
V9GYD9;Q5VZZ6;A0A0J9YX66;A0A1B0GU44;E9PC62;A0A1B0GUN8;A0A0J9YXJ0;O95319;G5EA30;Q92879	V9GYD9;Q5VZZ6;A0A0J9YX66;A0A1B0GU44;E9PC62;A0A1B0GUN8;A0A0J9YXJ0;O95319	4;4;4;4;4;4;4;4;1;1	4;4;4;4;4;4;4;4;1;1	4;4;4;4;4;4;4;4;1;1	CUGBP Elav-like family member 2	CELF2	tr|V9GYD9|V9GYD9_HUMAN CUGBP Elav-like family member 2 OS=Homo sapiens OX=9606 GN=CELF2 PE=1 SV=1;tr|Q5VZZ6|Q5VZZ6_HUMAN CUGBP Elav-like family member 2 OS=Homo sapiens OX=9606 GN=CELF2 PE=1 SV=2;tr|A0A0J9YX66|A0A0J9YX66_HUMAN CUGBP Elav-like family member	10	4	4	4	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	2	0	1	11.6	11.6	11.6	46.621	440	440;502;514;520;521;526;533;508;514;486	0	9.393	0	0	0	0	0	0	4.1	4.1	2.3	0	0	0	0	3	3	0	0	0	5.2	0	4.1	104530000	0	0	0	0	0	0	10166000	10299000	6486500	0	0	0	0	51870000	18256000	0	0	0	2553000	0	4901200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1945700	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	2	0	1	8				133	64;617;2267;3309	True;True;True;True	66;647;2374;3465	537;538;539;4744;4745;4746;16060;23344	540;541;542;4836;4837;4838;16555;24162	541;4837;16555;24162	52;53	168;174
